store_no,store_nm,addr
47,르카페시즌( Le Cafe Season ),광주광역시 서구 화정동
64,골드라인착한전당포대부,경상남도 창원시 성산구 반림동
222,한식뷔페아르고,대구광역시 달서구 본동
273,미르상사,대구광역시 달성군 다사읍 서재리
284,어펫스토어,충청남도 아산시 권곡동
345,세종시 주짓수 아카데미 2관,세종특별자치시 고운동
389,피자엠소마 안산2호점,경기도 안산시 단원구 선부동
484,시원한맥주짜릿한소주,전라북도 익산시 어양동
540,처갓집양념치킨(매곡 삼각점),광주광역시 북구 매곡동
673,미센스부안점,전라북도 부안군 부안읍 봉덕리
692,엠카,충청남도 천안시 동남구 신방동
721,굿커피(goodcoffee),서울특별시 강남구 역삼동
929,은하농원,경기도 과천시 과천동
987,지에스(GS)25 영휘원점(상품권),서울특별시 동대문구 청량리동
994,(주)지텐션_1,서울특별시 중구 순화동
1097,주식회사 일호점에프앤비,경기도 하남시 망월동
1132,단밤,강원도 원주시 평원동
1137,정육비품마켓 (용유통),경기도 고양시 일산동구 사리현동
1156,옐로우얼스,서울특별시 중구 을지로7가
1222,필미디어,경기도 성남시 분당구 구미동
1388,주식회사이레모터스,인천광역시 서구 왕길동
1398,프렌즈스크린팔탄 나이스골프,경기도 화성시 팔탄면 구장리
1447,(주)버터럼,대전광역시 서구 용문동
1530,정키스,경상북도 경주시 성건동
1679,(주)교연스카이학원,경기도 용인시 기흥구 마북동
1713,비둘기직업적응훈련센터,서울특별시 종로구 동숭동
1922,팔팔껍데기 신설동점,서울특별시 동대문구 신설동
1980,남천 화이트펜슬 스터디카페,부산광역시 수영구 남천동
2001,라온공작소,강원도 영월군 영월읍 하송리
2051,본동족발,부산광역시 부산진구 가야동
2176,이마트24 전주여의점,전라북도 전주시 덕진구 동산동
2308,초이네호프,세종특별자치시 조치원읍 침산리
2320,아이스 벌 소촌모아점,광주광역시 광산구 소촌동
2451,청림공조시스템,경기도 양주시 어둔동
2459,어업회사법인임진강장어농원(주),경기도 파주시 법원읍 가야리
2544,원광유도관,전라북도 익산시 신동
2739,인스턴트커피바,경기도 남양주시 와부읍 덕소리
2821,(주)로글리,서울특별시 서초구 반포동
2823,피오리,경기도 군포시 금정동
2935,김순정돌솥밭진순대국,경기도 가평군 설악면 천안리
