store_no,store_nm,addr
85,춘천크리너스,강원도 춘천시 동내면 사암리
165,프라임시스,인천광역시 남동구 만수동
313,마왕족발 모현점,전라북도 익산시 모현동1가
335,미라,경기도 남양주시 별내동
752,송덮밥 고읍점,경기도 양주시 광사동
807,제주돈담,제주특별자치도 제주시 노형동
902,루히게 케라믹(7982아틀리에),경기도 이천시 신둔면 고척리
985,동구소나무치과,대구광역시 동구 신천동
990,별미(米)당,경기도 성남시 분당구 구미동
1038,뱅커 피 (BANKER),울산광역시 중구 유곡동
1045,월드겔러리,서울특별시 동대문구 답십리동
1142,카페니치 인동점,대전광역시 동구 인동
1161,진주 필름,전라남도 목포시 용해동
1176,예천육묘장,경상북도 예천군 예천읍 석정리
1426,농업회사법인 방앗간코리아 주식회사,세종특별자치시 연서면 신대리
1430,송도캠퍼스수학학원,인천광역시 연수구 송도동
1658,더밥스토리와 파리에 다녀온 치킨,서울특별시 성동구 행당동
1675,스위트애드광고디자인,경상남도 진주시 명석면 우수리
1734,지엔지컴퍼니(GNG Company),경기도 고양시 덕양구 향동동
1793,별님책방,경기도 김포시 사우동
1819,대도당구장,대구광역시 서구 중리동
1829,지에스25 녹양휴먼시아점(상품권),경기도 의정부시 녹양동
1860,돈까스 보라,서울특별시 종로구 연건동
2034,인주,충청남도 아산시 인주면 문방리
2228,더착한커피 하안점,경기도 광명시 하안동
2285,금당집,경상남도 김해시 외동
2306,수투키스튜디오,경기도 군포시 산본동
2392,(주)한경자동차,서울특별시 강서구 가양동
2439,비아이유,서울특별시 중구 충무로5가
2462,지에스25 안성칠곡,경기도 안성시 원곡면 칠곡리
2593,쉼suim,경상북도 포항시 남구 오천읍 용덕리
2605,아모르바베큐파티,경기도 부천시 소사본동
2621,에스모텔(S-Motel),경기도 의정부시 의정부동
2627,브라보 치킨 피자,부산광역시 서구 서대신동1가
2647,이엔씨(E.N.C)공사,인천광역시 중구 운북동
2700,(주)엘케이사이언스,대구광역시 수성구 두산동
2713,오랑(orang),서울특별시 용산구 용산동2가
2751,세림,경상남도 창원시 마산회원구 합성동
2776,아이갓에브리씽완산수영장점,전라북도 전주시 완산구 효자동2가
2946,에프엠테크주식회사,경기도 파주시 탄현면 오금리
2976,최주영 춘천닭갈비 사직점,부산광역시 동래구 사직동
3348,연산불백윤식당,부산광역시 연제구 연산동
3358,와인싸롱뱅뱅,경기도 성남시 수정구 수진동
3641,더불어 사는세상,충청남도 계룡시 엄사면 엄사리
3689,찰지당,부산광역시 남구 용호동
3736,슘,경기도 성남시 중원구 금광동
3868,밥상예음,전라북도 완주군 이서면 갈산리
4159,명 아트월,인천광역시 남동구 간석동
4204,신가썬팅,대구광역시 동구 입석동
4246,또봉이통닭 광양읍점,전라남도 광양시 광양읍 칠성리
4312,플렉스 주식회사,전라남도 여수시 학동
4396,쿡1015,경상남도 창원시 성산구 상남동
4697,양마니명동찌개마을,강원도 원주시 반곡동
4883,엘피지넘버원,서울특별시 서대문구 창천동
4906,카페꽃이피다상인점,대구광역시 달서구 상인동
4960,아이품매트,대구광역시 달서구 이곡동
5023,지에스25(GS25) 신사중앙점(상품권),서울특별시 강남구 신사동
5043,엑서지컴퍼니,경기도 화성시 반송동
5088,누구나홀딱반한닭 신도림점,서울특별시 구로구 구로동
5099,아이갓에브리씽 중구제2청사점,인천광역시 중구 운남동
5251,런드리데이 대방디엠시티점,경기도 고양시 일산서구 대화동
5625,서해스크린,충청남도 당진시 읍내동
5651,을찌로 국물떡볶이 창원상남점,경상남도 창원시 성산구 상남동
5708,명품구제？,강원도 횡성군 횡성읍 읍하리
5775,삼홍창호건설,대구광역시 동구 신기동
5978,비비큐(BBQ)망우점,서울특별시 중랑구
5981,다짐필라테스 숭실대역점,서울특별시 동작구 상도동
6005,매머드익스프레스 평촌스마트점,경기도 안양시 동안구 관양동
6201,주식회사 보다더코퍼레이션,서울특별시 강남구 신사동
6303,몽간,경상북도 김천시 교동
6370,미숙이네 쭈삼,전라남도 나주시 이창동
6388,자하정,경상남도 양산시 상북면 소토리
6496,지에스25제천덕일점(상품권),충청북도 제천시 청전동
6511,nudebones(누드본즈),서울특별시 강남구 신사동
6588,알렉스더커피 Alex the coffee,서울특별시 중구 신당동
6668,지에스25 고현중앙점(상품권),경상남도 거제시 고현동
6781,마미반찬동탄점,경기도 화성시 영천동
6810,우방스터디존,경기도 안성시 공도읍 만정리
6977,이너스,전라남도 순천시 조례동
7025,(주)이스턴웰스 현대백화점본점,서울특별시 동작구 신대방동
7180,장호덕 손만두(태전점),경기도 광주시 태전동
7196,착한엄마도시락,경기도 시흥시 정왕동
7233,(주) 엠아이에스스포츠코리아,부산광역시 부산진구 부전동
7248,닭이랑 오리랑,대전광역시 중구 부사동
7277,송도막창구이,경기도 파주시 금촌동
7877,47 에이지 실버,전라북도 전주시 완산구 풍남동3가
7895,영심미용실,경상남도 거창군 거창읍 대동리
8015,협동조합 산지천사람들,제주특별자치도 제주시 일도일동
8371,무실교동짬뽕,강원도 원주시 무실동
8441,바인드(baind),경기도 광명시 소하동
8718,설하카페,전라남도 담양군 담양읍 천변리
8773,블랙철판조례점,전라남도 순천시 조례동
8775,도서공연(상담원)_갤럭시아_1,서울특별시 강남구 논현동
9031,국제스크린,충청북도 제천시 장락동
9097,유지,전라북도 전주시 완산구 중앙동1가
9310,당신과나그리고정든,경상북도 안동시 용상동
9395,팀윤짐송도6호점,인천광역시 연수구
9410,구석 누룽지를 품은닭,경기도 하남시 망월동
9544,다원결혼정보,경기도 안산시 단원구 선부동
9609,알로하 필라테스,충청남도 천안시 서북구 직산읍 삼은리
9645,버거킹 김포풍무점,경기도 김포시 풍무동
9780,주식회사빈스티앤에프,부산광역시 사하구 괴정동
9792,로즈노래홀,경기도 평택시 평택동
9940,무학트랜스,부산광역시 사하구 다대동
9977,주식회사 리더스우드,전라남도 장성군 남면 분향리
10014,구리출장세차 킹카워시 구리점,경기도 구리시 교문동
10142,(주)세종특허티엔씨,서울특별시 강남구 개포동
10334,딱새스팀세차광택,부산광역시 사상구 주례동
10430,거창맨홀,경상남도 거창군 거창읍 중앙리
10455,주식회사 더블랙,서울특별시 관악구 신림동
10471,월드드림스포츠,경기도 파주시 동패동
10681,칼&돈,경상북도 영천시 작산동
10684,(주)뱅따상회,경기도 남양주시 다산동
