prod_nm,menu1_nm,menu3_nm
전주전통육회비빕밥,한식,육회
50년삼계탕,한식,삼계탕
떡국(계절메뉴),한식,떡국
해물파전,한식,해물파전
황포묵무침,한식,무침
육회(대),한식,육회
육회(소),한식,육회
맥주,음료류,맥주
음료,음료류,음료수
순대국밥,한식,국밥
머리국밥,한식,국밥
막창따로국밥,한식,국밥
콩나물국밥,한식,국밥
따로국밥,한식,국밥
고기추가,한식,고기
공기밥,한식,공기밥
맥주,음료류,맥주
막걸리,음료류,막걸리
내장(대),한식,내장
내장(소),한식,내장
머리고기(대),한식,고기
머리고기(소),한식,고기
막창(대),한식,막창
막창(소),한식,막창
술안주국물(대),한식,안주
술안주국물(소),한식,안주
음료수,음료류,음료수
순대국밥,한식,국밥
머리국밥,한식,국밥
막창 따로 국밥,한식,국밥
콩나물국밥,한식,국밥
따로국밥,한식,국밥
고기추가,한식,고기
공기밥,한식,공기밥
내장(대),한식,내장
내장(소),한식,내장
머리고기(대),한식,고기
머리고기(소),한식,고기
막창(대),한식,막창
막창(소),한식,막창
술안주국물(대),한식,안주
술안주국물(소),한식,안주
소주/맥주/막걸리,음료류,막걸리
음료수,음료류,음료수
불낙전골(중),한식,전골
불낙전골(대),한식,전골
소불고기(1인분),한식,소불고기
떡갈비(1인분/180g),한식,떡갈비
삼계탕(계절/1인분),한식,삼계탕
갈낙전골(예약),한식,전골
갈비찜(예약),한식,갈비찜
찹쌀생주,한식,찹쌀
맥주,음료류,맥주
막걸리,음료류,막걸리
음료수,음료류,음료수
전주비빔밥+떡갈비+파전(1인분/2인이상),한식,떡갈비
전주비빔밥,한식,비빔밥
육회비빔밥,한식,비빔밥
육회(200g),한식,육회
전주비빔밥+떡갈비+파전,한식,떡갈비
전주비빔밥,한식,비빔밥
육회비빔밥,한식,비빔밥
육회(200g),한식,육회
불낙전골(중),한식,전골
불낙전골(대),한식,전골
소불고기,한식,소불고기
떡갈비(180g),한식,떡갈비
삼계탕(계절메뉴),한식,삼계탕
갈낙전골,한식,전골
갈비찜,한식,갈비찜
찹쌀생주,한식,찹쌀
맥주,음료류,맥주
막걸리,음료류,막걸리
음료수,음료류,음료수
청학동샤브정식(1인기준),한식,정식
청학동버섯전골(1인기준),한식,전골
청학동떡갈비,한식,떡갈비
새송이깐풍기,한식,깐풍기
표고탕수,한식,탕수
청학동버섯모듬전,한식,모둠
오리훈제,한식,훈제
고기만두,한식,만두
김치만두,한식,만두
새우만두,한식,만두
모둠만두,한식,만두
해물부추만두,한식,만두
비빔만두,한식,만두
고기튀김만두(4p),한식,만두
김치튀김만두(4p),한식,만두
우리쫄면,한식,쫄면
매운쫄면,한식,쫄면
쫄면엔만두,한식,만두
메밀소바,한식,소바
만두칼국수,한식,칼국수
어묵우동,한식,우동
유부우동,한식,우동
면이가는냉쫄면(여름특선별미),한식,쫄면
떡만두국,한식,떡만두국
만두국,한식,만두국
떡국,한식,떡국
모듬(대),한식,모둠
모듬(소),한식,모둠
한정식(4인),한식,정식
전주전통비빕밥,한식,
모주,한식,
파전,한식,
모주(1잔),한식,
모주(1병),한식,
모주,한식,
모주한잔,한식,
파전,한식,
모듬(대),한식,모둠
소주,음료류,소주
치즈만두(4p),한식,
콜라,한식,탄산음료
사이다,음료류,탄산음료
환타,음료류,탄산음료
모주,한식,
모주한잔,한식,
모듬(소),한식,모둠
소주,음료류,소주
황포묵,한식,
소주,음료류,소주
한정식(4인),한식,정식
불로장생(1인기준),한식,
모주,한식,
소주,음료류,소주
청학동오골계(2~3인분),한식,
비빔냉면,한식,비빔냉면
물냉면,한식,물냉면
콩국수,한식,콩국수
치즈돈가스,한식,돈까스
돈가스,한식,돈까스
함박가스,한식,함박
치즈김치볶음밥,한식,김치볶음밥
김치볶음밥,한식,김치볶음밥
토마토덮밥,한식,덮밥
치즈쫄볶이,한식,치즈
쫄볶이,한식,
해물볶음우동,한식,우동
치킨데리야끼우동,한식,우동
생선가스,한식,생선
The만글이(신포부대찌개),한식,
돈가스김치나베,한식,나베
돌솥비빔밥,한식,돌솥비빔밥
신포비빔밥,한식,비빔밥
낙지덮밥,한식,덮밥
신포순두부,한식,순두부
소고기뚝배기,한식,뚝배기
고기버섯덮밥,한식,덮밥
돌솥제육덮밥,한식,제육덮밥
돈가스커리라이스,한식,돈까스
치즈돈가스커리라이스,한식,돈까스
에스프레소(HOT),음료류,에스프레소
아메리카노(HOT),음료류,아메리카노
아메리카노(ICED),음료류,아메리카노
카페라떼(HOT),음료류,카페라떼
카페라떼(ICED),음료류,카페라떼
바닐라라떼(HOT),음료류,바닐라라떼
바닐라라떼(ICED),음료류,바닐라라떼
카라멜마끼아또(HOT),음료류,카라멜마끼아또
카라멜마끼아또(ICED),음료류,카라멜마끼아또
카페모카(HOT),음료류,카페모카
카페모카(ICED),음료류,카페모카
샷추가,제과류,
아이스티(ICED),음료류,아이스티
현미녹차(HOT),음료류,녹차
현미녹차(ICED),음료류,녹차
얼그레이(HOT),음료류,얼그레이
얼그레이(ICED),음료류,얼그레이
따자몽(HOT),음료류,자몽
녹차라떼(HOT),음료류,녹차라떼
녹차라떼(ICED),음료류,녹차라떼
홍차라떼(HOT),음료류,라떼
홍차라떼(ICED),음료류,라떼
핫초코(HOT),음료류,핫초코
아이스초코(ICED),음료류,초코
에이드(ICED),음료류,
스무디(ICED),음료류,
우유팥빙수(ICED),음료류,팥빙수
우유과일빙수(ICED),음료류,빙수
우유딸기빙수(ICED),음료류,빙수
망고소르베빙수(ICED),음료류,빙수
흑당버블라떼,음료류,라떼
불고기세트,한식,불고기
파전세트,한식,
떡갈비세트,한식,떡갈비
프리미엄세트메뉴_육회비빔밥,한식,비빔밥
프리미엄세트메뉴_현미밥변경시,한식,
전주식묵육회(180g),한식,육회
황포묵무침,한식,무침
해물파전,한식,해물파전
돌판불고기(180g),한식,불고기
떡갈비(180g),한식,떡갈비
야채불고기전골(2인이상/1인/150g),한식,전골
고궁전골(2인이상/겨울),한식,전골
야채불고기전골세트(2인이상),한식,불고기
고궁전골세트(2인이상/겨울),한식,전골
전주전통비빔밥,한식,비빔밥
돌솥비빔밥,한식,돌솥비빔밥
육회비빔밥,한식,비빔밥
고궁정식(1인/2인이상),한식,정식
식사류_현미비빔밥주문시,한식,비빔밥
이강주(도자기),한식,
이강주(유리병),한식,
모주(1병),한식,
모주(1잔),한식,
전주막걸리(1병),음료류,막걸리
맥주,음료류,맥주
소주,음료류,소주
음료수,음료류,음료수
연탄불돼지구이,한식,구이
김밥,한식,김밥
가락국수,한식,국수
닭도리탕,한식,닭볶음탕
김치찌개(大),한식,김치찌개
김치국밥,한식,국밥
낙지볶음&소면,한식,소면
연탄구이 굽기전 양념육 상태(330g),한식,구이
양념족발,한식,족발
오징어볶음,한식,오징어볶음
소면추가,한식,소면
닭발볶음(무뼈),한식,볶음
똥집볶음(기름장),한식,볶음
오뎅(계란2개),한식,어묵
공기밥,한식,공기밥
라면사리,한식,라면사리
백세주,음료류,백세주
산사춘,한식,산사춘
복분자,음료류,복분자
뽕주,한식,
청하,음료류,청하
모주,한식,
맥주(카스),음료류,맥주
맥주(테라),음료류,맥주
맥주(하이트),음료류,맥주
소주(참),음료류,소주
소주(진),음료류,소주
소주(처),음료류,소주
가시오가피,한식,
대나무,한식,
막걸리,음료류,막걸리
음료수(콜/500ml),음료류,음료수
음료수(스/500ml),음료류,음료수
음료수(환/500ml),음료류,음료수
음료수(콜/1.25L),음료류,음료수
음료수(스/1.25L),음료류,음료수
