STORE_NM,ADDR,UPJONG_DESC

오드비어,"서울 강서구  강서로  429-0, 121호 (마곡동,마곡오드카운티1차)",SEARCH_ADD

상주신성식당,"경북 상주시  냉림4길  112-0, (93-56외 2필지) (냉림동)",한식_SUB

3구역공인중개사사무소,"서울 강서구  개화동로23길  99-0, (방화동)",JHY_EDIT

차오름,"강원 춘천시  백령로147번길  25-0, 304호 (효자동)",FRAN

에이스보드카페,"서울 마포구  독막로7길  27-0, 지층 (서교동)",SEARCH_ADD

혼술식당 삼송점,"경기 고양시 덕양구  권율대로  831-0, 101호 (신원동,신원마을호반베르디움9단지)",한식_SUB

다솜커피숍,"인천 부평구  백범로432번길  64-0, 2층 (십정동)",SEARCH

드림기획,"광주 북구  설죽로214번길  127-0, 1층 용봉동 (용봉동)",

주식회사행복한밥집,"울산 중구  내황12길  6-0, 1층 (반구동)",한식_SUB

리치스터디카페,"강원 원주시  영랑길  14-1, 401호 (행구동,서영빌딩)",JHY_EDIT

원조뼈다귀 딜리버리,"경기 남양주시  미금로  136-0, 1층 일부 (다산동)",SEARCH

더 밥집,"인천 동구  송림로  142-0, 1층 (송림동)",한식_SUB

불타는정글,"경기 오산시  오산로358번길  15-0, 1층 (궐동)",매칭표_매핑

크래프트한스,"인천 연수구  해돋이로120번길  23-0, 1층 111호 (송도동,아크리아빌딩)",FRAN

뷰티이화피부관리실,"경남 밀양시  북성로  71-0, 3층 (내이동)",SEARCH

에스(S) 화장품,"경기 김포시  풍무로146번길  18-0, 3층 309호, 310호 (풍무동,금강리체)",SEARCH

백세이 기획,"인천 미추홀구  경인북길  323-0, 104호 (용현동)",

올리브데올리브(주),"서울 강동구  성안로  163-0, (천호동)",SEARCH_ADD

해영이네밥상,"강원 강릉시 주문진읍 시장길  38-0, 104호 (주문리,주문진수산시장)",한식_SUB

록봉기문둔갑연구원,"서울 금천구  벚꽃로40길  9-0, 1층 (가산동)",SEARCH_ADD

카앤피플 인천남동구6호점,"인천 남동구  경원대로  944-4, 6동 201호 (간석동,영화빌라)",JHY_EDIT

비젼배드민턴센터,"대구 달성군 다사읍 세천로7길  22-8, (세천리)",SEARCH

케이정육,"서울 강서구  허준로  139-0, 상가동 지하1층 (가양동,강변아파트)",SEARCH_ADD

주식회사 우희,"경남 진주시  판문로  416-0, 101호 (판문동)",

세종회 수산시장,"대구 달서구  갈밭로  28-0, 1층 101호. 102호 (대곡동)",JHY_EDIT

씨윈드펜션,"전북 부안군 변산면 변산로  3262-0, (도청리)",SEARCH

다오유학원,"충북 진천군 광혜원면 장기길  62-27, C동 403호 (광혜원리,PARK VILL)",

지에스25 장수주공점(상품권),"인천 남동구  장수로  25-0, 상가동 101호 (장수동)",JHY_EDIT

노란마켓 김해점,"경남 김해시  함박로101번길  23-0, 111동 2층 211호 (외동,대동아파트)",매칭표_매핑

민서수산,"서울 성북구  한천로99라길  22-0, (장위동)",JHY_EDIT

락인컴퍼니,"경기 오산시  운암로  89-0, 210동 504호 (오산동,주공아파트)",

서원양곱창,"부산 동래구  충렬대로359번길  23-0, 1층 (안락동)",SEARCH

만배식당,"제주 제주시  도두항길  4-4, 1층 (도두일동)",한식_SUB

대륙6590,"대구 동구  효목로  45-0, 6층 (효목동)",매칭표_매핑

제이지에스비,"서울 강서구  공항대로  213-0, 13층 1301-25호 (마곡동,보타닉파크타워2)",

디자인 여기,"경북 포항시 남구 연일읍 연일중앙로  69-0, 101동 102호 (오천리,영남비치타운2차)",매칭표_매핑

지에스25 양평서종점(상품권),"경기 양평군 서종면 북한강로648번길  1-0, 1층 (문호리)",JHY_EDIT

상품권_3_FDK,"서울 중구  수표로  34-0, 12층 (저동2가,씨티센터타워)",매칭표_매핑

(주)위푸드시스템(외식하기가장좋은집거제점),"경남 거제시  고현천로  52-0, 2층 (고현동)",매칭표_매핑

