title,category,telephone,address,roadAddress,mapx,mapy,description,link
오드비어,"술집>맥주,호프",,서울특별시 강서구 마곡동 784-11,서울특별시 강서구 강서로 429 오드카운티1차오드비어 ,297674,551943,,
,,,,,,,,
3구역공인중개사사무소,부동산>중개업,02-3664-5544,서울특별시 강서구 방화동 614-225,서울특별시 강서구 개화동로23길 99,295138,552138,,https://blog.naver.com/magok365
,,,,,,,,
에이스보드카페,보드카페,,서울특별시 마포구 서교동 400-3,서울특별시 마포구 독막로7길 27,304683,550212,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
리치 스터디카페,"서비스,산업>장소대여",,강원도 원주시 행구동 1710-10,강원도 원주시 영랑길 14-1,397717,526557,,
원조뼈다귀 딜리버리,음식점>한식,031-553-5709,경기도 남양주시 다산동 3528-3,경기도 남양주시 미금로 136,325868,557272,,
,,,,,,,,
불타는정글,"해물,생선요리>바닷가재요리",031-376-8582,경기도 오산시 궐동 35-9,경기도 오산시 오산로358번길 15 1층,317461,506758,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
카앤피플 인천남동구6호점,세차>스팀세차,,인천광역시 남동구 간석동 617-78,인천광역시 남동구 경원대로 944-4,284358,541328,,https://carnpeople.co.kr/lqwe3237
비젼 배드민턴센터,"스포츠,오락>배드민턴장",053-314-3609,대구광역시 달성군 다사읍 세천리 1678-8,대구광역시 달성군 다사읍 세천로7길 22-8,442853,364072,,http://blog.daum.net/tnsgh3795
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
서원양곱창,"한식>곱창,막창,양",051-522-9001,부산광역시 동래구 안락동 425-27,부산광역시 동래구 충렬대로359번길 23,500218,289455,,
만배식당,한식>돼지고기구이,064-711-1024,제주특별자치도 제주시 도두일동 2587,제주특별자치도 제주시 도두항길 4-4 매화빌 1층 상가,257793,102166,,
,,,,,,,,
제이지에스비,"지원,대행>전시,행사대행",,서울특별시 강서구 마곡동 774-2,서울특별시 강서구 공항대로 213,296949,551476,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
달려라소돼지,"한식>육류,고기요리",031-224-7484,경기도 수원시 권선구 세류동 587-3,경기도 수원시 권선구 정조로 445,312583,516830,,
,,,,,,,,
,,,,,,,,
잉글리시에그 위례센터,유아학습>영어교육,031-721-8883,경기도 성남시 수정구 창곡동 509 7층 715호,경기도 성남시 수정구 위례광장로 300 7층 715호,324374,541617,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
도쿄밥상,일식>일식당,,강원도 춘천시 낙원동 30-1 1층,강원도 춘천시 중앙로68번길 12,376085,586436,,http://도쿄밥상.할인주문.kr
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
통진콜,화물운송>퀵서비스,,경기도 김포시 통진읍 마송리 585-8 1층 103호,경기도 김포시 통진읍 율마로438번길 34-29 1층 103호,277114,565875,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
하트찹쌀꽈배기,"카페,디저트>도넛",031-949-4393,경기도 파주시 금촌동 992,경기도 파주시 후곡로 50 분산상가 103,291862,572879,,
꼬꼬스토리 별내신도시점,"음식점>치킨,닭강정",031-572-5542,경기도 남양주시 별내동 1097-5 106호,경기도 남양주시 별내5로5번길 5 106호,321939,561217,,
서남신시장상인회,"쇼핑,유통>시장",053-522-1223,대구광역시 달서구 감삼동 62-4,대구광역시 달서구 달구벌대로329길 10,449506,361703,,
,,,,,,,,
공간드림스터디카페,스터디카페,,대전광역시 유성구 지족동 1022,대전광역시 유성구 지족로 283 드림타워 6층,338121,421007,,https://instagram.com/spacedream7987?igshid=107j4vlgfhuof
,,,,,,,,
,,,,,,,,
,,,,,,,,
노가리앤비어 제주하귀점,"술집>맥주,호프",064-747-0865,제주특별자치도 제주시 애월읍 하귀1리 162-4 1층,제주특별자치도 제주시 애월읍 하귀9길 56 1층,252909,99617,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
이마트24 연세장례식장원주점,"생활,편의>편의점",033-744-4288,강원도 원주시 일산동 162-33,강원도 원주시 일산로 20,395383,527453,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
속초머구리활어수산,한식>생선회,033-631-3051,강원도 속초시 장사동 548-7,강원도 속초시 장사항해안길 58,451679,625021,,
에이바우트커피 용인죽전점,"음식점>카페,디저트>카페",,경기도 용인시 수지구 죽전동 1177-2,경기도 용인시 수지구 현암로 113,322400,525920,,
예능캐슬어린이집,"교육,학문>어린이집",053-638-9229,대구광역시 달서구 상인동 1214,대구광역시 달서구 월곡로26안길 17-7,449917,356727,,
,,,,,,,,
메종휘게,"생활,편의>공방",,경기도 화성시 남양읍 남양리 2039-12,경기도 화성시 남양읍 역골중앙로100번길 15 1층 메종휘게,296321,512465,,http://instagram.com/_maison.hygge_
,,,,,,,,
,,,,,,,,
,,,,,,,,
비티알 서울 시흥점,패션>골프웨어,,서울특별시 금천구 시흥동 883-15,서울특별시 금천구 시흥대로58길 5,303007,539641,,
,,,,,,,,
명품도시락,"음식점>도시락,컵밥",033-553-4612,강원도 태백시 황지동 15-11,강원도 태백시 황지북3길 16 명품도시락,488157,508615,,https://blog.naver.com/bs0224224
청춘식당,음식점>한식,031-957-9295,경기도 파주시 탄현면 금승리 11-36,경기도 파주시 탄현면 엘씨디로241번길 47-9 102호 청춘식당,290853,579327,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
르하임스터디카페 대구월성점,"서비스,산업>장소대여",,대구광역시 달서구 월성동 1840,"대구광역시 달서구 조암로 39 에스아이타워 5층 503호,504호",447738,358385,,http://르하임.com
,,,,,,,,
마인드숨 심리상담&amp;명상센터,"건강,의료>심리상담",031-281-0233,경기도 수원시 영통구 이의동 1331,"경기도 수원시 영통구 센트럴타운로 107 광교 푸르지오월드마크, 월드스퀘어상가 2층",315819,521554,,http://blog.naver.com/healwith
,,,,,,,,
,,,,,,,,
