store_no,store_nm,addr,category,telephone,address,roadAddress,mapx,mapy,description,link
15,율면건강원,경기도 이천시 율면 고당리,제조업>건강기능식품제조,,경기도 이천시 율면 고당리 242-18,경기도 이천시 율면 고당로 140 1층,359889,499374,,
90,전희정 필라테스,인천광역시 중구 운북동,스포츠시설>필라테스,,인천광역시 중구 운서동 2799-1,"인천광역시 중구 영종대로 94 10층 1002호,1003호",266634,544713,,http://www.instagram.com/jeonheejung_pilates/
104,79대포 공주신관점,충청남도 공주시 신관동,술집>포장마차,,충청남도 공주시 신관동 655-10,충청남도 공주시 번영2로 68-17,322824,430541,,http://79daepo.com
265,유한회사 디에이치랩,전라북도 전주시 덕진구 만성동,,,,,,,,
331,아크미술학원,경상북도 포항시 북구 신흥동,"직업,기술학원>애니메이션,만화",,경상북도 포항시 북구 신흥동 810-12,경상북도 포항시 북구 중앙상가길 65 2층,523303,383108,,https://blog.naver.com/animarbie19
637,초미세먼지해결시스템 착착 마산진해영업소,경상남도 창원시 마산회원구 구암동,,,,,,,,
668,청홍전,인천광역시 서구 청라동,음식점>한식,,인천광역시 서구 청라동 157-17,인천광역시 서구 청라커낼로260번길 7-11 1층 110호,280522,548703,,
771,더 스마일 홈케어,경상북도 구미시 송정동,청소>홈크리닝,,경상북도 구미시 송정동 3,경상북도 구미시 박정희로 599 1113동804호,430814,391362,,https://blog.naver.com/yunho2158
774,까투리(용해점),전라남도 목포시 용해동,,,,,,,,
775,우리동네수학쌤,부산광역시 수영구 망미동,,,,,,,,
856,유진,경기도 시흥시 정왕동,"음식점>카페,디저트",,경기도 시흥시 정왕동 1626-1 2층 카페유진,경기도 시흥시 평안상가4길 24-6 파레스호텔 2층 카페유진,289376,526881,,
930,해남여행사,전라남도 해남군 해남읍 수성리,"서비스,산업>여행사",,전라남도 해남군 해남읍 수성리 204-7,전라남도 해남군 해남읍 북부순환로 134,271534,220566,,
943,크린토피아 의정부호원한승점,경기도 의정부시 호원동,,,,,,,,
1135,불량쭈꾸미,인천광역시 부평구 부평동,,,,,,,,
1279,제이(J) 피아노,경기도 김포시 운양동,음악학원>피아노,,경기도 김포시 장기동 1613,경기도 김포시 김포한강1로51번길 40 나래프라자II 6층,282513,561062,,http://blog.naver.com/jartma.do
1285,컴포즈커피 대전도안점,대전광역시 유성구 상대동,"카페,디저트>카페",,대전광역시 유성구 상대동 474-1 상대메디컬프라자 1층 105호,대전광역시 유성구 도안대로 511-13 상대메디컬프라자 1층 105호,340890,416320,,
1327,문의에서,충청북도 청주시 상당구 문의면 미천리,,,,,,,,
1380,정아니의불타는여고24시떡볶이전농점,서울특별시 동대문구 전농동,,,,,,,,
1392,가인시니어케어빌,경기도 수원시 팔달구 화서동,,,,,,,,
1563,찐노래방,인천광역시 미추홀구 주안동,,,,,,,,
1593,남양대로주유소,경기도 화성시 남양읍 남양리,"생활,편의>주유소",,경기도 화성시 남양읍 남양리 1108-3,경기도 화성시 남양읍 화성로 1235,295309,513257,,
1639,꽃밭정이추어탕,전라북도 전주시 완산구 평화동1가,한식>추어탕,,전라북도 전주시 완산구 평화동1가 515-1,전라북도 전주시 완산구 평화17길 11,322247,355240,,
1657,나의반려,전라북도 익산시 영등동,반려동물,,전라북도 익산시 영등동 753-9,전라북도 익산시 고봉로18길 1 2층,307229,373078,,
1725,미니스톱 김해테크노점,경상남도 김해시 진례면 담안리,"생활,편의>편의점",,경상남도 김해시 진례면 담안리 117-1,경상남도 김해시 진례면 고모로 442,470770,296333,,http://www.ministop.co.kr/
1769,동해막국수,인천광역시 중구 을왕동,한식>막국수,,인천광역시 중구 을왕동 859-3,인천광역시 중구 용유서로479번길 16,256036,541195,,
1949,장보고 상회,경상남도 사천시 서동,,,,,,,,
2084,별,경기도 수원시 영통구 하동,"건강,의료>약국",,경기도 수원시 영통구 하동 1016,경기도 수원시 영통구 광교중앙로 170 3층 311호 365별약국,316906,521115,,
2119,아이더 칠곡점,대구광역시 북구 태전동,"쇼핑,유통>등산,아웃도어",,대구광역시 북구 태전동 1031-4,대구광역시 북구 칠곡중앙대로 364,449648,369923,,http://www.eider.co.kr/
2147,더정,부산광역시 부산진구 가야동,,,,,,,,
2157,237피자,울산광역시 울주군 범서읍 굴화리,,,,,,,,
2313,마라라,서울특별시 영등포구 여의도동,중식>중식당,,서울특별시 영등포구 여의도동 35-2,서울특별시 영등포구 국제금융로6길 30 백상빌딩 3층,305317,547161,,
2364,와치킨,경기도 김포시 대곶면 석정리,,,,,,,,
2493,스마일투어(주),충청남도 아산시 온천동,,,,,,,,
2537,수학에 반하다 수학학원,부산광역시 부산진구 초읍동,,,,,,,,
2594,지에스(GS)25 덕천주공점,부산광역시 북구 덕천동,"생활,편의>편의점",,부산광역시 북구 덕천동 804,부산광역시 북구 모분재로23번길 120 상가 나동 지하1호 (덕천동 804),492374,290236,,http://gs25.gsretail.com/
2755,에슬로우 목동1호점,서울특별시 양천구 목동,"음식점>카페,디저트",,서울특별시 양천구 목동 736-9 1층,서울특별시 양천구 목동중앙남로 32 1층,300076,548889,,https://instagram.com/eslow2020?igshid=1jqmf4ry6wpzb
2843,미뜨레피자 이매점,경기도 성남시 분당구 이매동,,,,,,,,
2926,주식회사 엠제이산업개발,인천광역시 남동구 구월동,,,,,,,,
3087,우미경,서울특별시 동작구 대방동,,,,,,,,
3202,탈,광주광역시 서구 쌍촌동,술집>요리주점,,광주광역시 서구 쌍촌동 981-39,광주광역시 서구 상무대로868번길 3-10 1층 탈,296105,283991,,http://instagram.com/tal_ssangchon
3222,참치라이더청주가경점,충청북도 청주시 흥덕구 가경동,,,,,,,,
3532,세븐일레븐 영주가흥조선점,경상북도 영주시 가흥동,"생활,편의>편의점",,경상북도 영주시 가흥동 1866-1,경상북도 영주시 대학로187번길 18-15,454114,468141,,
3572,연희네 꼬마김밥,강원도 화천군 사내면 사창리,,,,,,,,
3822,짱국수,인천광역시 계양구 계산동,,,,,,,,
3920,(유)이레산업,전라북도 군산시 오식도동,,,,,,,,
4386,OM 인디아,서울특별시 서초구 양재동,,,,,,,,
4508,지에스25 나주달무리(상품권),전라남도 나주시 대호동,,,,,,,,
4528,맛있는기름집,경기도 고양시 일산서구 가좌동,"쇼핑,유통>가공식품",,경기도 고양시 일산서구 가좌동 200-4,경기도 고양시 일산서구 송포로 243,287625,565655,,
4555,짐 비바이포(Gym BX4),서울특별시 양천구 목동,,,,,,,,
4650,짬뽕살롱,경기도 광주시 오포읍 능평리,,,,,,,,
4670,오가게,서울특별시 강남구 역삼동,,,,,,,,
4683,지에스(GS)25 대방중앙점,서울특별시 동작구 대방동,"생활,편의>편의점",,서울특별시 동작구 대방동 389-3,서울특별시 동작구 여의대방로36길 4 (대방동 389-3),304930,545191,,http://gs25.gsretail.com/
4717,24시출장열쇠집도어락잠긴문번호키보조키,서울특별시 도봉구 방학동,"쇼핑,유통>열쇠,도어록",,서울특별시 도봉구 방학동 412-1,서울특별시 도봉구 시루봉로15길 98,314537,563455,,http://blog.naver.com/irisee7
4769,김밥매니아 부영점,전라남도 무안군 삼향읍 남악리,,,,,,,,
4790,주식회사 제이더블유청운,경기도 고양시 덕양구 주교동,,,,,,,,
4837,나이스가이 마곡나루역점,서울특별시 강서구 마곡동,"생활,편의>남성전문미용실",,서울특별시 강서구 마곡동 365-25,,296437,552468,,
4840,다하다,서울특별시 동작구 신대방동,청소>에어컨청소,,서울특별시 금천구 가산동 149-13,서울특별시 금천구 시흥대로149길 48,302475,542046,,http://www.dahada.com
4863,배달삼겹직구삼 왕십리점,서울특별시 성동구 하왕십리동,"육류,고기요리>돼지고기구이",,서울특별시 성동구 하왕십리동 1066 텐즈힐 155동 1층 102호,서울특별시 성동구 무학로 33,314354,552299,,
4965,캘리핏 댄스학원,경기도 화성시 청계동,"교육,학문>댄스학원",,경기도 화성시 청계동 514-2,경기도 화성시 동탄대로시범길 253 서진프라자 5층 503호,320544,511533,,https://instargram.com/kelly_young___
