store_no,store_nm,addr,category,telephone,address,roadAddress,mapx,mapy,description,link
56,구주,서울특별시 중구 을지로6가,중식>중식당,,충청남도 아산시 좌부동 26,충청남도 아산시 순천향로 977,313522,462747,,
103,110커피(110 COFFEE),경기도 남양주시 별내동,,,,,,,,
145,(주)정오아카데미 상명대점,서울특별시 종로구 홍지동,일식>돈가스,,충청북도 충주시 연수동 1277,충청북도 충주시 연수서3길 12,393546,487059,,http://mitorang1346.modoo.at/
167,(주)지오스이엔씨,인천광역시 연수구 송도동,"음식점>치킨,닭강정",,인천광역시 미추홀구 주안동 150-4,"인천광역시 미추홀구 주안로104번길 37 1층 102호(주안동, 세원빌딩)",283535,540832,,
174,타임코스메틱,부산광역시 남구 대연동,,,,,,,,
414,티케이(TK)바이크샵,부산광역시 남구 용당동,"음식점>치킨,닭강정",,경상북도 안동시 용상동 1567-5,경상북도 안동시 전거리4길 48,466817,439909,,http://www.gcova.co.kr/
418,(주) 벤포트,서울특별시 강동구 명일동,"한식>육류,고기요리",,충청남도 서산시 석림동 791-12 서안타워 1층,충청남도 서산시 석림1로 74 서안타워 1층,262937,464330,,http://kukjegalbi.com/
483,스터디카페구겐하임 율하점,대구광역시 동구,,,,,,,,
620,왕언니 피자치킨,경기도 이천시 백사면 현방리,,,,,,,,
650,디엠이벤트,광주광역시 서구 풍암동,,,,,,,,
673,지니파이,경기도 수원시 팔달구 인계동,,,,,,,,
836,한화이앤지,전라북도 완주군 이서면 갈산리,,,,,,,,
903,에릭웨이브(ERIC WAVE),부산광역시 수영구 광안동,,,,,,,,
1021,사뿐사뿐 발관리,광주광역시 북구 오치동,,,,,,,,
1128,짜이티앙타이식당,경기도 성남시 중원구 성남동,,,,,,,,
1152,웅숭찬,광주광역시 광산구 신가동,학원>미술학원,,경기도 남양주시 호평동 371,경기도 남양주시 천마산로 65-1 라인아파트 상가동 2층 ,333821,563147,,http://instagram.com/https://instagram.com/zaktan_art?igshid=165hdyhvha5xx
1183,아이쁘네#,경기도 동두천시 보산동,,,,,,,,
1267,개인택시 36바7144,부산광역시 해운대구 반송동,"음식점>카페,디저트",,경상남도 김해시 부원동 860-4 1층,경상남도 김해시 김해대로2325번길 44 1층,480347,292725,,http://instagram.com/cafe_plumber
1337,충만치킨 신당점,서울특별시 중구 신당동,,,,,,,,
1384,DESIGNGRAB,서울특별시 영등포구 문래동3가,,,,,,,,
1425,권실장참마찹쌀꽈배기호계점,울산광역시 북구 호계동,,,,,,,,
1525,아이스크림and 과자,경기도 고양시 일산동구 식사동,,,,,,,,
1571,쿠키달,충청남도 아산시 온천동,"생활,편의>꽃집,꽃배달",,충청남도 당진시 대덕동 1828,충청남도 당진시 대덕1로 125-18,279492,476804,,http://blog.naver.com/kangyh629
1593,금동봉자순대국밥,광주광역시 동구 금동,,,,,,,,
1678,힐스템봉명지점,충청북도 청주시 흥덕구 봉명동,음식점>이탈리아음식,,서울특별시 강남구 신사동 644,서울특별시 강남구 언주로170길 16 1층,314904,547613,,http://instagram.com/ristorante_bottarga
1799,제이커피(J COFFEE),경상북도 경주시 안강읍 안강리,,,,,,,,
1938,가야냉난방수도설비,전라남도 순천시 해룡면 상삼리,"서비스,산업>물류,유통",,경기도 포천시 군내면 용정리 482,경기도 포천시 군내면 용정경제로2길 39 3층,330279,586957,,
2091,말랑공방,인천광역시 서구 청라동,,,,,,,,
2173,주식회사 밀본,인천광역시 중구 운서동,청소>에어컨청소,,경기도 의정부시 금오동 253-1,경기도 의정부시 하금로 44,317450,572869,,
2189,어화돈. 꽃피는바다,경기도 수원시 권선구 권선동,,,,,,,,
2264,빌라 드 코스테스,서울특별시 성북구 하월곡동,,,,,,,,
2360,히앤,서울특별시 강남구 도곡동,,,,,,,,
2380,세븐일레븐 서초아이파크점,서울특별시 서초구,"쇼핑,유통>건강기능보조식품",,경기도 파주시 금촌동 797-1,경기도 파주시 중앙로 203 102호,292787,573217,,http://한국홍삼공사.com
2530,GS25 작전광원점,인천광역시 계양구 작전동,술집>이자카야,,인천광역시 중구 운서동 3098-5 더 타임 120호,인천광역시 중구 영종대로196번길 25 더 타임 120호,267467,544161,,http://www.instagram.com/haki_haki__
2582,드림씨티 컨설팅,충청북도 보은군 보은읍 교사리,,,,,,,,
2739,올탑스터디카페 신탄진점,대전광역시 대덕구 석봉동,음식점>한식,,전라북도 순창군 복흥면 서마리 720-5,전라북도 순창군 복흥면 추령로 1792-2,302864,320446,,
2779,동민설비,경기도 포천시 영중면 양문리,,,,,,,,
2787,25센치꼬치앤오뎅바,경상남도 김해시 전하동,부동산>중개업,,부산광역시 해운대구 반여동 1088,부산광역시 해운대구 삼어로 131,502101,290543,,
2989,이지피지러닝,제주특별자치도 제주시 애월읍 하귀1리,"생활,편의>자동차정비,수리",,경기도 성남시 중원구 상대원1동 1365,경기도 성남시 중원구 박석로25번길 2,326376,537349,,
3200,주스톡스,경기도 수원시 영통구 영통동,,,,,,,,
