store_no,store_nm,addr,category,telephone,address,roadAddress,mapx,mapy,description,link,Correct
248,송도툇마루,인천광역시 연수구 동춘동,"음식점>카페,디저트",,인천광역시 연수구 동춘동 810-7,인천광역시 연수구 앵고개로101번길 44-13 1층 송도 툇마루,281235,535644,,https://instagram.com/songdo_toenmaru,O
437,으뜸50안경 여의도점,서울특별시 영등포구 여의도동,"가정,생활용품>안경원",,서울특별시 영등포구 여의도동 35-5,서울특별시 영등포구 여의나루로 42 2층 235호,305171,547135,,https://blog.naver.com/top50ydo,O
583,수미여인숙,경기도 성남시 수정구 신흥동,,,,,,,,,X
673,신라의료기 (모두케어),경기도 안산시 상록구 사동,,,,,,,,,X
716,대박회수산,경기도 수원시 영통구 영통동,한식>생선회,,경기도 수원시 영통구 영통동 1019-5,경기도 수원시 영통구 매영로415번길 42-10,318434,516735,,,O
1197,학장명문학원,부산광역시 사상구 학장동,교습학원>입시학원,,부산광역시 사상구 학장동 574-82,부산광역시 사상구 대동로 106 목화아파드상가 4층,489460,282661,,,O
1225,주식회사맵준코리아,경기도 성남시 수정구 창곡동,,,,,,,,,X
1441,오평,경기도 수원시 영통구 영통동,서점>독립서점,,경기도 수원시 영통구 영통동 1044-1,경기도 수원시 영통구 청명북로7번길 8-16,318529,517202,,http://www.instagram.com/o_pyeong,O
1488,화성 갤러리,경기도 화성시 병점동,"생활,편의>미용실",,경기도 화성시 병점동 847,경기도 화성시 병점3로 133,315547,512799,,,O
1608,휠복원시대,경기도 양주시 백석읍 오산리,"자동차정비,수리>타이어,휠",,경기도 양주시 백석읍 오산리 365-15,경기도 양주시 백석읍 권율로1398번길 19 휠복원시대,310359,578856,,,O
1623,잇츠키친,경기도 용인시 수지구 동천동,"도시락,컵밥>다이어트,샐러드",,경기도 용인시 수지구 동천동 864 단지내상가105 잇츠키친,경기도 용인시 수지구 손곡로 80 단지내상가105 잇츠키친,319895,526431,,http://instagram.com/its__kitchen,O
1776,아르더네일,경기도 안성시 공도읍 만정리,"미용>네일아트,네일샵",,경기도 안성시 공도읍 만정리 424-30,경기도 안성시 공도읍 공도로 98 2층 아르더헤어 내,326491,489030,,https://www.instagram.com/eunseon_2104/,O
1781,삼화방통기포,전라북도 전주시 완산구 효자동3가,"제조업>건설,광산용기계제조",,전라북도 전주시 완산구 효자동3가 1019-5,전라북도 전주시 완산구 유연로 34 1층 4호 삼화방통,317973,358494,,http://blog.naver.com/samhwa8801,O
1825,역전할머니맥주 대화역점,경기도 고양시 일산서구 대화동,"술집>맥주,호프",,경기도 고양시 일산서구 대화동 2205,경기도 고양시 일산서구 중앙로 1576,289685,564557,,https://www.youtube.com/c/역전할머니맥주,O
1908,아시아 자동차 정비 공장,서울특별시 강서구 외발산동,"생활,편의>자동차정비,수리",,서울특별시 강서구 외발산동 227-2,서울특별시 강서구 남부순환로19길 48-7,296313,550000,,,O
2237,크라운호프남촌점,인천광역시 남동구 남촌동,"음식점>술집>맥주,호프",,인천광역시 남동구 남촌동 310-2,인천광역시 남동구 호구포로535번길 33,286595,537204,,,O
2320,원스타트,경기도 수원시 팔달구 인계동,"금융,보험>선물,옵션",,경기도 수원시 팔달구 팔달로3가 130 화로구이 2층,경기도 수원시 팔달구 행궁로 82 화로구이 2층,312890,519734,,http://www.blog.naver.com/joskho,X
2457,끌림하우스,서울특별시 강동구 상일동,,,,,,,,,X
2728,장호원 월드마트,경기도 이천시 장호원읍 장호원리,"쇼핑,유통>슈퍼,마트",,경기도 이천시 장호원읍 장호원리 135-11,경기도 이천시 장호원읍 샘재로141번길 3,367152,501913,,,O
2831,모아가전,경기도 고양시 덕양구 행신동,"쇼핑,유통>중고가전",,경기도 고양시 덕양구 화정동 953,경기도 고양시 덕양구 화신로 340 별빛마을7단지아파트,296825,559715,,,X
2933,마왕족발 송도남부점,인천광역시 연수구 송도동,"육류,고기요리>족발,보쌈",,인천광역시 연수구 송도동 207-3,인천광역시 연수구 첨단대로 80,280908,530328,,http://mawangpork.com/,O
3024,지에스25 돌산코지점,전라남도 여수시 돌산읍 우두리,"생활,편의>편의점",,전라남도 여수시 돌산읍 우두리 701-2,전라남도 여수시 돌산읍 돌산로 3532 1층 (우두리 700-2),376877,236568,,http://gs25.gsretail.com/,O
3186,세븐일레븐 대전괴정힐링점,대전광역시 서구 괴정동,"생활,편의>편의점",,대전광역시 서구 괴정동 3-9,대전광역시 서구 계룡로 574-1,345190,415880,,,O
3344,수싸스,경기도 동두천시 보산동,,,,,,,,,X
3477,해맛칼국수,경기도 남양주시 별내동,,,,,,,,,X
3516,스타동 홈서비스,서울특별시 강남구 논현동,,,,,,,,,X
3703,하포리,광주광역시 동구 동명동,"생활,편의>공방",,광주광역시 동구 동명동 200-12,광주광역시 동구 동계천로 111 1층,302043,284090,,http://instagram.com/_hapory,O
3737,인생네컷,광주광역시 북구 용봉동,"생활,편의>사진,스튜디오",,광주광역시 북구 용봉동 152-14,광주광역시 북구 우치로100번길 11,301196,286948,,,O
3769,더오맘오맘,서울특별시 광진구 중곡동,일식>오므라이스,,서울특별시 광진구 중곡동 640-2 1층,서울특별시 광진구 면목로 58 1층,318712,551168,,,O
3830,부자석재,충청남도 논산시 강경읍 채산리,"제조업>목재,석재가공기계제조",,충청남도 논산시 강경읍 채산리 532-11,충청남도 논산시 강경읍 계백로 45,310991,394987,,,O
3962,렛쯔고 미장,부산광역시 사상구 엄궁동,,,,,,,,,X
4080,하삼동(부산거제점),부산광역시 연제구 거제동,,,,,,,,,X
4155,피자이탈리(Pizza italy)범박점,경기도 부천시 범박동,음식점>양식>피자,,경기도 부천시 범박동 215-1 1층,경기도 부천시 양지로92번길 40-1 1층,295186,541667,,,O
4156,자담치킨 반월중앙점,경상남도 창원시 마산합포구 월포동,"음식점>치킨,닭강정",,경상남도 창원시 마산합포구 월포동 1-1,경상남도 창원시 마산합포구 3·15대로 154,451690,288255,,http://ejadam.co.kr,O
4187,부경한식뷔페,전라북도 김제시 금구면 금구리,,,,,,,,,X
4206,밀(meer),경상북도 구미시 원평동,,,,,,,,,X
4491,과자점플람므,인천광역시 계양구 임학동,"카페,디저트>베이커리",,인천광역시 계양구 임학동 3-8,인천광역시 계양구 계양산로 163-1 1층 좌측,288328,550256,,http://instagram.com/enohana_cake,O
4507,1987퓨전포차,경상남도 진주시 하대동,,,,,,,,,X
4519,길라잡이체육관,세종특별자치시 종촌동,"스포츠,오락>스포츠시설",,세종특별자치시 종촌동 673,세종특별자치시 도움1로 108 5층 길라잡이 체육관,332794,433797,,https://instagram.com/korean_wolverine,O
4838,오니(ONI),서울특별시 종로구 계동,,,,,,,,,X
4847,효림시스템,전라북도 전주시 완산구 효자동1가,"쇼핑,유통>문,창문",,전라북도 전주시 완산구 효자동1가 296-90,전라북도 전주시 완산구 오두정1길 8,320583,356736,,http://blog.naver.com/hjo88214/,O
5218,지에스25(GS25) 보령로데오점 (상품권),충청남도 보령시 동대동,,,,,,,,,X
5242,아이썸,경기도 안산시 단원구 고잔동,,,,,,,,,X
5311,증명당,경상남도 진주시 대안동,"생활,편의>사진,스튜디오",,경상남도 진주시 대안동 19-17,경상남도 진주시 진양호로527번길 10-1 1층,407759,288305,,https://www.instagram.com/hongsil_jmd/,O
5329,투모아(북항점),전라남도 목포시 산정동,,,,,,,,,X
5404,지에스25신길세창점(상품권),서울특별시 영등포구 신길동,,,,,,,,,X
5696,가와지상점,경기도 고양시 일산서구 일산동,,,,,,,,,X
5811,꽃 정,인천광역시 남동구 만수동,"생활,편의>꽃집,꽃배달",,인천광역시 남동구 만수동 80-323 1층 플라워스튜디오 꽃정,인천광역시 남동구 백범로180번길 125 1층 플라워스튜디오 꽃정,288209,540670,,,O
5942,서귀포농업협동조합보목지점,제주특별자치도 서귀포시 보목동,"금융,보험>신용조합",,제주특별자치도 서귀포시 보목동 881-1,제주특별자치도 서귀포시 칠십리로 443 서귀포농협,269603,72854,,,O
6112,땅끝황토팬션야영장,경상북도 포항시 남구 구룡포읍 석병리,"숙박>캠핑,야영장",,경상북도 포항시 남구 구룡포읍 석병리 666-46,,542771,381064,,http://pensioncamp.com/,O
6226,하하블링,경기도 동두천시 지행동,"쇼핑,유통>이벤트,파티",,경기도 동두천시 지행동 270-4,경기도 동두천시 삼육사로1002번길 93 101,317523,588506,,,O
6432,서은샘,인천광역시 서구 연희동,,,,,,,,,X
6487,아리랑목살,부산광역시 사하구 괴정동,"한식>육류,고기요리",,"부산광역시 사하구 괴정동 477-34 1층, 2층","부산광역시 사하구 사하로 164 1층, 2층",490830,277951,,https://www.instagram.com/arirangmoksal/,O
6557,마루찬방,경기도 여주시 현암동,"쇼핑,유통>반찬가게",,경기도 여주시 현암동  192-32,경기도 여주시 학동1길 41,368506,522856,,,O
