store_no,store_nm,addr,category,telephone,address,roadAddress,mapx,mapy,description,link,Correct
248,송도툇마루,인천광역시 연수구 동춘동,"음식점>카페,디저트",,인천광역시 연수구 동춘동 810-7,인천광역시 연수구 앵고개로101번길 44-13 1층 송도 툇마루,281235,535644,,https://instagram.com/songdo_toenmaru,O
437,으뜸50안경 여의도점,서울특별시 영등포구 여의도동,"가정,생활용품>안경원",,서울특별시 영등포구 여의도동 35-5,서울특별시 영등포구 여의나루로 42 2층 235호,305171,547135,,https://blog.naver.com/top50ydo,O
583,수미여인숙,경기도 성남시 수정구 신흥동,"생활,편의>편의점",,인천광역시 남동구 간석동 617-107,인천광역시 남동구 석정로497번길 48,284492,541442,,,X
673,신라의료기 (모두케어),경기도 안산시 상록구 사동,,,,,,,,,X
716,대박회수산,경기도 수원시 영통구 영통동,,,,,,,,,X
1197,학장명문학원,부산광역시 사상구 학장동,,,,,,,,,X
1225,주식회사맵준코리아,경기도 성남시 수정구 창곡동,"생활,편의>편의점",,경상북도 영덕군 남정면 장사리 73-10,경상북도 영덕군 남정면 동해대로 3600,523684,409950,,http://www.emart24.co.kr,X
1441,오평,경기도 수원시 영통구 영통동,,,,,,,,,X
1488,화성 갤러리,경기도 화성시 병점동,"미용>속눈썹증모,연장",,서울특별시 양천구 목동 406-262,서울특별시 양천구 오목로 329-2 3층,300685,547582,,http://instagram.com/cielo_eye20,X
1608,휠복원시대,경기도 양주시 백석읍 오산리,,,,,,,,,X
1623,잇츠키친,경기도 용인시 수지구 동천동,술집>이자카야,,광주광역시 광산구 수완동 1654 1층,광주광역시 광산구 수완로52번길 30-4 1층,293679,288536,,http://instagram.com/izakaya_ichiya,X
1776,아르더네일,경기도 안성시 공도읍 만정리,"카페,디저트>카페",,경기도 광명시 일직동 512,경기도 광명시 양지로 11 제에이1동 제지1층 118호,301218,535712,,,X
1781,삼화방통기포,전라북도 전주시 완산구 효자동3가,,,,,,,,,X
1825,역전할머니맥주 대화역점,경기도 고양시 일산서구 대화동,,,,,,,,,X
1908,아시아 자동차 정비 공장,서울특별시 강서구 외발산동,"건강,의료>병원,의원",,부산광역시 사하구 하단동 525-2,부산광역시 사하구 낙동남로 1389 이든빌딩 10층,488061,279071,,http://chungdamjin.com,X
2237,크라운호프남촌점,인천광역시 남동구 남촌동,"쇼핑,유통>가구",,경기도 파주시 문발동 73-10,경기도 파주시 교하로 901 마블릭 MARBLERIC,285989,570219,,http://marbleric.co.kr,X
2320,원스타트,경기도 수원시 팔달구 인계동,"미용>네일아트,네일샵",,서울특별시 송파구 잠실동 190-5,서울특별시 송파구 백제고분로7길 24-19 아이러브텐 2층 ,319034,545692,,http://instagram.com/nailstar_gram.official,X
2457,끌림하우스,서울특별시 강동구 상일동,"서비스,산업>장소대여",,울산광역시 남구 무거동 272-9 3층,울산광역시 남구 울밀로 2896 3층,514812,329129,,http://www.gongbuin.com,X
2728,장호원 월드마트,경기도 이천시 장호원읍 장호원리,"생활,편의>편의점",,울산광역시 북구 매곡동 707,울산광역시 북구 매산로 92,523294,338690,,,X
2831,모아가전,경기도 고양시 덕양구 행신동,,,,,,,,,X
2933,마왕족발 송도남부점,인천광역시 연수구 송도동,"쇼핑,유통>구제의류",,충청남도 천안시 동남구 목천읍 신계리 390-12 101호 보물창고,충청남도 천안시 동남구 목천읍 충절로 803 101호 보물창고,328884,463435,,,X
3024,지에스25 돌산코지점,전라남도 여수시 돌산읍 우두리,술집>포장마차,,전라북도 완주군 이서면 갈산리 663-4,전라북도 완주군 이서면 오공로 11-23 106.107호,314978,360212,,http://www.hanshinpocha.com/,X
3186,세븐일레븐 대전괴정힐링점,대전광역시 서구 괴정동,"생활,편의>미용실",,부산광역시 수영구 광안동 490-10,부산광역시 수영구 광일로 6,501635,285378,,http://blog.naver.com/snv0890,X
3344,수싸스,경기도 동두천시 보산동,"한식>칼국수,만두",,경기도 하남시 망월동 834-2 1층 115~117호,경기도 하남시 미사강변한강로 155 1층 115~117호,329001,552937,,http://blog.naver.com/no1dot,X
3477,해맛칼국수,경기도 남양주시 별내동,"한식>육류,고기요리",,대전광역시 서구 월평동 974,대전광역시 서구 계룡로299번길 27 102호 레드웨건,342946,417392,,,X
3516,스타동 홈서비스,서울특별시 강남구 논현동,"생활,편의>편의점",,서울특별시 서초구 방배동 1018-1 상가동 114호 DC25 방배삼익점,서울특별시 서초구 효령로34길 79 상가동 114호 DC25 방배삼익점,311830,542351,,https://www.instagram.com/dc25_albacat/,X
3703,하포리,광주광역시 동구 동명동,음식점>야식,,경상북도 경주시 성건동 369-1,경상북도 경주시 화랑로28번길 2 골목길,508923,361189,,,X
3737,인생네컷,광주광역시 북구 용봉동,"쇼핑,유통>문구,팬시용품",,경상남도 통영시 정량동 255-2,경상남도 통영시 비석2길 12,439499,250105,,,X
3769,더오맘오맘,서울특별시 광진구 중곡동,음식점>한식,,전라남도 순천시 연향동 1677-1,전라남도 순천시 팔마5길 74,355937,259478,,http://blog.naver.com/dnlsl126,X
3830,부자석재,충청남도 논산시 강경읍 채산리,,,,,,,,,X
3962,렛쯔고 미장,부산광역시 사상구 엄궁동,,,,,,,,,X
4080,하삼동(부산거제점),부산광역시 연제구 거제동,,,,,,,,,X
4155,피자이탈리(Pizza italy)범박점,경기도 부천시 범박동,음식점>분식,,서울특별시 노원구 상계동 581-2 외1필지 상계동 센트롤타워 110호,서울특별시 노원구 상계로1길 54-4,317412,562176,,http://www.eguljak.com,X
4156,자담치킨 반월중앙점,경상남도 창원시 마산합포구 월포동,,,,,,,,,X
4187,부경한식뷔페,전라북도 김제시 금구면 금구리,,,,,,,,,X
4206,밀(meer),경상북도 구미시 원평동,,,,,,,,,X
4491,과자점플람므,인천광역시 계양구 임학동,,,,,,,,,X
4507,1987퓨전포차,경상남도 진주시 하대동,,,,,,,,,X
4519,길라잡이체육관,세종특별자치시 종촌동,,,,,,,,,X
4838,오니(ONI),서울특별시 종로구 계동,,,,,,,,,X
4847,효림시스템,전라북도 전주시 완산구 효자동1가,,,,,,,,,X
5218,지에스25(GS25) 보령로데오점 (상품권),충청남도 보령시 동대동,,,,,,,,,X
5242,아이썸,경기도 안산시 단원구 고잔동,"쇼핑,유통>건강,의료용품",,전라남도 여수시 서교동 692-2,전라남도 여수시 신월로 803,375145,238009,,,X
5311,증명당,경상남도 진주시 대안동,"생활,편의>편의점",,서울특별시 영등포구 신길동 3184,서울특별시 영등포구 신길로28길 16-1,303999,545032,,http://gs25.gsretail.com/,X
5329,투모아(북항점),전라남도 목포시 산정동,,,,,,,,,X
5404,지에스25신길세창점(상품권),서울특별시 영등포구 신길동,,,,,,,,,X
5696,가와지상점,경기도 고양시 일산서구 일산동,한식>돼지고기구이,,충청북도 제천시 왕암동 865,충청북도 제천시 소새로3길 24,415384,505944,,,X
5811,꽃 정,인천광역시 남동구 만수동,"임대,대여>렌터카",,서울특별시 송파구 문정동 634,서울특별시 송파구 충민로 66 가든파이브 라이프 T-9109호,322809,542062,,http://zoa-rentcar.co.kr,X
5942,서귀포농업협동조합보목지점,제주특별자치도 서귀포시 보목동,,,,,,,,,X
6112,땅끝황토팬션야영장,경상북도 포항시 남구 구룡포읍 석병리,교습학원>공부방,,경상남도 양산시 어곡동 9-3 101동 105호,경상남도 양산시 두전길 18 로얄파크빌 101동 105호,493550,309547,,,X
6226,하하블링,경기도 동두천시 지행동,,,,,,,,,X
6432,서은샘,인천광역시 서구 연희동,,,,,,,,,X
6487,아리랑목살,부산광역시 사하구 괴정동,"음식점>카페,디저트",,경상남도 거제시 장승포동 694-3,경상남도 거제시 장승포로 12 3층,466528,252381,,,X
6557,마루찬방,경기도 여주시 현암동,,,,,,,,,X
6721,연신에스티(주),충청북도 청주시 청원구 내수읍 학평리,,,,,,,,,X
6722,잉글리시에그 성북(도서),서울특별시 성북구 길음동,"음식점>카페,디저트",,경상북도 포항시 남구 효자동 569 1층(효자동),경상북도 포항시 남구 효성로 12,520556,379289,,,X
6807,믿음생활가전,인천광역시 남동구 만수동,,,,,,,,,X
6833,엘바이미,충청남도 천안시 서북구 불당동,,,,,,,,,X
7035,강남언니,광주광역시 광산구 산정동,"쇼핑,유통>철물점",,경기도 양주시 장흥면 교현리 112-25,경기도 양주시 장흥면 호국로 518,309605,568771,,,X
7237,씨유(CU) 명지국제동서점,부산광역시 강서구 명지동,"음식점>치킨,닭강정",,대구광역시 남구 봉덕동 650-6,대구광역시 남구 이천로 35,454219,360632,,http://www.bbq.co.kr/,X
7288,이유치킨 잠실신천점,서울특별시 송파구 잠실동,,,,,,,,,X
7306,어던헤어,경기도 하남시 망월동,"음식점>카페,디저트",,부산광역시 사하구 하단동 497-27,부산광역시 사하구 낙동대로516번길 1 2층,488240,279561,,,X
