store_no,store_nm,store_branch_name,hous_id_mango,addr,title,category,telephone,address,roadAddress,mapx,mapy,description,link
NGMxm2ai6V,야식만만,,1168010100006850000,서울시 강남구 역삼동 685,,,,,,,,,
oivNSw8gKh-Z,무리무리 소고기 무한리필,,1168010100007040000,서울시 강남구 역삼동 704-44,,,,,,,,,
woRQBSYnKS,황소양곱창,,1168010100007970000,서울시 강남구 역삼동 797-3,,,,,,,,,
33mL05Kn4Net,3MK,강남본점,1168010100006160000,서울시 강남구 역삼동 616-14,,,,,,,,,
G3NGMpErd6B9,얌얌식빵,강남역점,1168010100008260000,서울시 강남구 역삼동 826-14,,,,,,,,,
KrZrG71Ln6Xg,메이크썸커피,,1168010100008320000,서울시 강남구 역삼동 832-32,,,,,,,,,
ObnCOThjHN,동방미인,,1168010100006230000,서울시 강남구 역삼동 623,,,,,,,,,
al5Xai6Y5ySe,따뜻한밥상,,1168010100008320000,서울시 강남구 역삼동 832-12,,,,,,,,,
bOAjhILoXS,알라카르테,,1168010100006280000,서울시 강남구 역삼동 628-9,,,,,,,,,
jG-shfg6Rxiz,29PUB,2호점,1168010100008170000,서울시 강남구 역삼동 817-10,,,,,,,,,
y3MWHEWxmT3t,글라스하우스,,1168010100008150000,서울시 강남구 역삼동 815-5,,,,,,,,,
VVZ2Uf43DAi-,믹존스피자,,1168010100007380000,서울시 강남구 역삼동 738-1,,,,,,,,,
WHZQYxNa6HmM,차얌,강남역지하상가점,1168010100008210000,서울시 강남구 역삼동 821-1,,,,,,,,,
aRTb7DEo3rhO,동방미식,,1168010100006570000,서울시 강남구 역삼동 657-8,,,,,,,,,
c9puiyfuIEUq,BE MY FLOWER,,1168010100006960000,서울시 강남구 역삼동 696-11,,,,,,,,,
d6D4gnLK1ndr,빠레뜨한남,강남CGV점,1168010100008130000,서울시 강남구 역삼동 813-13,,,,,,,,,
i6kNtpnTfMsr,강정이기가막혀,역삼점,1168010100006560000,서울시 강남구 역삼동 656-19,,,,,,,,,
wudT2yJU5J,블랙스톤,강남점,1168010100006160000,서울시 강남구 역삼동 616-19,,,,,,,,,
yx18VyVMsI6o,둥굴관,,1168010100006350000,서울시 강남구 역삼동 635-13,,,,,,,,,
gAhwR-0jWoxh,서래향,,1168010100006970000,서울시 강남구 역삼동 697-12,,,,,,,,,
hYb2ZYZxPMAF,테이크파이브,,1168010100007350000,서울시 강남구 역삼동 735-7,,,,,,,,,
znq4sn6ejm,선릉포차,,1168010100007030000,서울시 강남구 역삼동 703-7,,,,,,,,,
9lGS8YEFRBlI,초미남,,1168010100007020000,서울시 강남구 역삼동 702-29,,,,,,,,,
Gb5omVXXgt_F,해머스미스로스터리,,1168010100006680000,서울시 강남구 역삼동 668-20,,,,,,,,,
ML5IHiC9AD2p,인기가요샌드위치,,1168010100008580000,서울시 강남구 역삼동 858,,,,,,,,,
BYpGeK9fKriB,무적의돈가츠,,1168010100006100000,서울시 강남구 역삼동 610-1,,,,,,,,,
kmlF6SH0hs,빠리포차,,1168010100007360000,서울시 강남구 역삼동 736-24,,,,,,,,,
mRmriGi5x5Ie,휴일,,1168010100008300000,서울시 강남구 역삼동 830-9,,,,,,,,,
pY2sEO4hUm,햇살촌한우마을,,1168010100008320000,서울시 강남구 역삼동 832-29,,,,,,,,,
q_rwmUBqUP,근천,,1168010100006040000,서울시 강남구 역삼동 604-11,,,,,,,,,
5aw-I1Fq-CrN,나능이,,1168010100006520000,서울시 강남구 역삼동 652-6,,,,,,,,,
ZVBWrFhJeX,화요리,,1168010100008240000,서울시 강남구 역삼동 824-25,,,,,,,,,
hTlAjIwNZP,마리스,,1168010100006040000,서울시 강남구 역삼동 604-7,,,,,,,,,
iDsdj6nE7vVd,가장맛있는짬뽕,,1168010100008300000,서울시 강남구 역삼동 830-70,,,,,,,,,
nCCVyDmO0OVx,Fig Coffee,,1168010100006740000,서울시 강남구 역삼동 674-1,,,,,,,,,
wXuvjvNaFeSz,오레노유메,강남역점,1168010100008310000,서울시 강남구 역삼동 831-28,,,,,,,,,
4S0OW1qFYA8_,무적의돈까스,,1168010100006100000,서울시 강남구 역삼동 610-1,,,,,,,,,
56AjdZx5X6Jv,호텔삼정델리,,1168010100006040000,서울시 강남구 역삼동 604-11,,,,,,,,,
6KVg1Tsz2FKu,버거스테이지,역삼점,1168010100007890000,서울시 강남구 역삼동 789-1,,,,,,,,,
_d1XUFrUk-,금문도,,1168010100008180000,서울시 강남구 역삼동 818-8,,,,,,,,,
1FBbp-m3gv1U,썸띵어바웃커피,,1168010100006180000,서울시 강남구 역삼동 618-16,,,,,,,,,
XG627b6JFh,파닭24,,1168010100006560000,서울시 강남구 역삼동 656-19,,,,,,,,,
#NAME?,그릴640,,1168010100007350000,,그릴640,"한식>육류,고기요리",,서울특별시 강남구 역삼동 735-25,서울특별시 강남구 테헤란로16길 13 동원빌딩 1층,314789,544505,,
72dMkeuoJN,마노디셰프,,1168010100006480000,서울시 강남구 역삼동 648-9,,,,,,,,,
Lg8N7waImera,이자카야쓰나미,,1168010100008180000,서울시 강남구 역삼동 818-14,,,,,,,,,
